Mar 15 20:31:11 dnsmasq[6]: started, version 2.85 DNS disabled
Mar 15 20:31:11 dnsmasq[6]: compile time options: IPv6 GNU-getopt DBus no-UBus no-i18n IDN2 DHCP DHCPv6 no-Lua TFTP no-conntrack ipset auth cryptohash DNSSEC loop-detect inotify dumpfile
Mar 15 20:31:11 dnsmasq[6]: LOUD WARNING: listening on 169.16.1.184 may accept requests via interfaces other than eth0
Mar 15 20:31:11 dnsmasq[6]: LOUD WARNING: use --bind-dynamic rather than --bind-interfaces to avoid DNS amplification attacks via these interface(s)
Mar 15 20:31:11 dnsmasq-dhcp[6]: DHCP, IP range 169.16.1.230 -- 169.16.1.250, lease time 10m
Mar 15 20:31:11 dnsmasq-dhcp[6]: DHCP, sockets bound exclusively to interface eth0
Mar 15 20:31:29 dnsmasq[6]: inotify, new or changed file /etc/dnsmasq/dhcp-hostsdir/unknown_hosts_filter
Mar 15 20:31:29 dnsmasq-dhcp[6]: read /etc/dnsmasq/dhcp-hostsdir/unknown_hosts_filter
Mar 15 20:36:03 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) fa:16:3e:c3:9a:59 ignored
Mar 15 20:36:14 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) fa:16:3e:c3:9a:59 ignored
Mar 15 20:37:12 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 94:40:c9:21:a9:8c ignored
Mar 15 20:37:12 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 94:40:c9:21:a0:08 ignored
Mar 15 20:37:15 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 94:40:c9:21:a0:08 ignored
Mar 15 20:37:17 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 94:40:c9:21:a9:8f ignored
Mar 15 20:37:17 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 94:57:a5:55:9f:34 ignored
Mar 15 20:37:17 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 94:57:a5:55:9f:35 ignored
Mar 15 20:37:17 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) ec:b1:d7:83:74:40 ignored
Mar 15 20:37:17 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 94:40:c9:21:a9:8c ignored
Mar 15 20:37:18 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) c4:34:6b:b7:b9:4c ignored
Mar 15 20:37:18 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 70:10:6f:b4:cd:b6 ignored
Mar 15 20:37:20 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 94:40:c9:21:a9:8f ignored
Mar 15 20:37:22 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) c4:34:6b:b7:b9:4c ignored
Mar 15 20:37:22 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 94:40:c9:21:a0:08 ignored
Mar 15 20:37:22 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) ec:b1:d7:83:74:40 ignored
Mar 15 20:37:23 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 70:10:6f:b4:cd:b6 ignored
Mar 15 20:37:24 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 94:57:a5:55:9f:34 ignored
Mar 15 20:37:25 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 94:57:a5:55:9f:35 ignored
Mar 15 20:37:26 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) 94:40:c9:21:a9:8f ignored
Mar 15 20:37:28 dnsmasq-dhcp[6]: DHCPDISCOVER(eth0) c4:34:6b:b7:b9:4c ignored
